"名前","ロマジ　名前","選手id","打","投","生年月日","生年"
"岡田 幸文","Yoshifumi Okada","12732","おかだ・よしふみ","L","L","7/6/1984","1984"
"岡田 耕司","Koji Okada","14638","","R","R","11/4/1966","1966"
"岡田 守雄","Morio Okada","14487","","R","R","1/12/1937","1937"
"岡田 宗芳","Muneyoshi Okada","16194","おかだ　むねよし","R","R","03/12/1917","1917"
"岡田 俊哉","Toshiya Okada","12840","おかだ　としや","L","L","12/5/1991","1991"
"岡田 彰布","Akinobu Okada","10176","おかだ　あきのぶ","R","R","11/25/1957","1957"
"岡田 忠弘","Tadahiro Okada","14549","","R","R","4/26/1935","1935"
"岡田 展和","Hirokazu Okada","10180","おかだ　ひろかず","R","R","1/21/1968","1968"
"岡田 福吉","Fukukichi Okada","16197","おかだ　ふくきち","R","R","04/25/1917","1917"
"岡田 豊","Yutaka Okada","14562","","R","R","9/12/1932","1932"
"岡島 厚","Atsushi Okajima","9657","おかじま　あつし","L","R","5/27/1961","1961"
"岡島 豪郎","Takero Okajima","15322","おかじま　たけろう","L","R","9/7/1989","1989"
"岡島 秀樹","Hideki Okajima","10175","おかじま","L","L","12/25/1975","1975"
"岡嶋 博治","Hiroji Okajima","57","おかじま　ひろじ","R","R","5/5/1935","1935"
"岡部 憲章","Noriaki Okabe","9759","おかべ　のりあき","R","R","4/11/1958","1958"
"岡部 明一","Akihito Okabe","9956","おかべ あきひと","L","L","10/13/1962","1962"
"岡本 伊三美","Isami Okamoto","176","おかもと　いさみ","R","R","2/26/1931","1931"
"岡本 一光","Kazumitsu Okamoto","13584","おかもと かずみつ","L","L","11/4/1951","1951"
"岡本 一雄","Kazuo Okamoto","15986","おかもと　かずお","R","R","","1918"
"岡本 凱孝","Yoshitaka Okamoto","13368","おかもと よしたか","R","R","8/14/1940","1940"
"岡本 吉守"," ","14647","","R","R","10/4/1967","1967"
"岡本 教平","Kyohei Okamoto","14875","","R","R","11/21/1934","1934"
"岡本 圭右","Keisuke Okamoto","12632","おかもと けいすけ","L","L","8/16/1956","1956"
"岡本 圭治","Keiji Okamoto","10182","","B","R","7/9/1967","1967"
"岡本 健","Ken Okamoto","15792","","R","R","10/29/1992","1992"
"岡本 健一郎","Kenichiro Okamoto","177","おかもと　けんいちろう","L","L","2/16/1933","1933"
"岡本 健治","Kenji Okamoto","15231","","L","L","2/15/1933","1933"
"岡本 光","Ko Okamoto","9723","おかもと　こう","R","R","8/17/1960","1960"
"岡本 晃","Akira Okamoto","10183","おかもと　あきら","R","R","5/3/1973","1973"
"岡本 浩二","Koji Okamoto","11347","おかもと　こうじ","R","R","8/3/1981","1981"
"岡本 克道","Katsunori Okamoto","10184","おかもと　かつのり","R","R","6/9/1973","1973"
"岡本 三男","Mitsuo Okamoto","15253","","R","R","3/15/1921","1921"
"岡本 秀寛","Hidehiro Okamoto","12453","おかもと・ひでひろ","L","L","4/19/1983","1983"
"岡本 真也","Shinya Okamoto","11474","おかもと　しんや","R","R","10/21/1974","1974"
"岡本 直也","Naoya Okamoto","11578","おかもと　なおや","L","L","7/28/1983","1983"
"岡本 哲司","Tetsushi Okamoto","9944","おかもと てつし","R","R","3/15/1961","1961"
"岡本 透","Toru Okamoto","10185","おかもと　とおる","L","L","6/13/1965","1965"
"岡本 篤志","Atsushi Okamoto","11813","","R","R","5/20/1981","1981"
"岡本 敏男","Toshio Okamoto","15987","おかもと　としお","L","L","","1917"
"岡本 芳信","Yoshinobu Okamoto","15077","","R","R","4/25/1935","1935"
"岡本 洋介","Yosuke Okamoto","12891","おかもと　ようすけ","R","R","9/27/1985","1985"
"岡本 利三","Toshizo Okamoto","16160","おかもと　としぞう","R","R","10/20/1915","1915"
"岡本 利之","Toshiyuki Okamoto","16185","おかもと　としゆき","R","R","11/27/1916","1916"
"岡本 龍二","Ryuji Okamoto","9916","おかもと　りゅうじ","R","R","4/5/1971","1971"
"岡本 和真","Kazuma Okamoto","15836","","R","R","6/30/1996","1996"
"岡野 義光","Yoshimitsu Okano","13940","","R","R","11/28/1938","1938"
"岡野 久一","Hisaichi Okuno","14308","おくの　ひさいち","R","R","1/25/1937","1937"
"岡野 八郎","Hachiro Okano","16186","おかの　はちろう","R","R","12/08/1916","1916"
"岡林 洋一","Yoichi Okabayashi","10181","おかばやし　よういち","L","R","4/11/1968","1968"
"岡﨑 太一","Taichi Okazaki","11918","おかざき たいち","R","R","6/20/1983","1983"
"沖 克已","Katsumi Oki","16355","おき　かつみ","R","R","08/09/1918","1918"
"沖 実郎","Jitsuo Oki","559","","L","L","7/12/1927","1927"
"沖 泰司","Yasushi Oki","9943","おき やすし","R","R","1/5/1961","1961"
"沖原 佳典","Yoshinori Okihara","11505","おきわら　よしのり","R","R","7/27/1972","1972"
"沖山 光利","Terutoshi Okiyama","14589","","L","L","5/1/1933","1933"
"荻 孝雄","Takao Ogi","14578","","R","R","12/6/1934","1934"
"荻原 修","Osamu Ogiwara","13128","おぎわら おさむ","L","R","3/22/1960","1960"
"荻原 満","Mitsuru Ogiwara","9917","おぎわら　みつる","L","L","12/19/1965","1965"
"荻原 隆","Takashi Ogiwara","15114","","R","R","4/26/1931","1931"
"荻島 秀夫","Hideo Ogishima","515","","R","R","9/9/1924","1924"
"荻本 伊三武","Isamu Ogimoto","542","","R","R","4/24/1925","1925"
"荻野 一雄","Kazuo Ogino","14384","","R","R","6/22/1941","1941"
"荻野 貴幸","Takayuki Ogino","12969","おぎの たかゆき","L","R","4/15/1988","1988"
"荻野 貴司","Takashi Ogino","12892","おぎの　たかし","R","R","10/21/1985","1985"
"荻野 忠寛","Tadahiro Ogino","12159","おぎの　ただひろ","R","R","4/26/1982","1982"
"屋宜 照悟","Shogo Yagi","15495","やぎ・しょうご","L","R","3/29/1989","1989"
"屋鋪 要","Kaname Yashiki","10937","やしき　かなめ","B","L","6/11/1959","1959"
"桶川 隆","Takashi Okekawa","636","","R","R","6/30/1922","1922"
"乙坂 智","Tomo Otosaka","15380","おとさか　とも","L","R","1/6/1994","1994"
"音 重鎮","Shigeki Oto","10196","おと　しげき","L","L","11/18/1963","1963"
"下園 辰哉","Tatsuya Shimozono","12218","しもぞの　たつや","L","L","11/22/1984","1984"
"下園 竜哉","Tatsuya Shimozono","12218","しもぞの　たつや","L","L","11/22/1984","1984"
"下沖 勇樹","Yuki Shimooki","12883","しもおき　ゆうき","R","R","9/8/1991","1991"
"下窪 陽介","Yosuke Shimokubo","12219","しもくぼ　ようすけ","R","R","1/21/1979","1979"
"下妻 貴寛","Takahiro Shimotsuma","15511","しもつま・たかひろ","R","R","4/15/1994","1994"
"下山 学","Manabu Shimoyama","12488","しもやま　まなぶ","R","R","9/29/1984","1984"
"下山 真二","Shinji Shimoyama","11717","しもやま　しんじ","R","R","12/1/1975","1975"
"下社 邦男","Kunio Tomoyashiro","591","","L","L","10/26/1923","1923"
"下須崎 詔一","Shoichi Shimosuzaki","13677","しもすざき しょういち","R","R","9/8/1944","1944"
"下水流 昂","Ko Shimozuru","15476","しもずる・こう","R","R","4/23/1988","1988"
"下川 満康","Mitsuyasu Shimokawa","14121","","R","R","10/6/1943","1943"
"下村 栄二","Eiji Shimomura","13987","しもむら えいじ","L","L","11/13/1945","1945"
"下村 豊","Yutaka Shimomura","15988","しもむら　ゆたか","R","R","","1918"
"下尾 勝馬","Katsuma Shimoo","530","","L","L","7/25/1918","1918"
"下敷領 悠太","Yuta Shimoshikiryo","12427","しもしきりょう・ゆうた","R","R","5/4/1983","1983"
"下柳 剛","Tsuyoshi Shimoyanagi","10445","しもやなぎ　つよし","L","L","5/16/1968","1968"
"加奥 隆三","Ryuzo Kaoku","14400","","R","R","7/15/1937","1937"
"加賀 元"," ","14693","","R","R","8/19/1972","1972"
"加賀 繁","Shigeru Kaga","12866","かが　しげる","R","R","4/13/1985","1985"
"加賀美 希昇","Kisho Kagami","12993","かがみ きしょう","R","R","9/5/1988","1988"
"加古 安宏","Yasuhiro Kako","14444","","R","R","7/28/1939","1939"
"加治屋 蓮","Ren Kajiya","15790","","R","R","11/25/1991","1991"
"加治前 竜一","Ryuichi Kajimae","12450","かじまえ・りゅういち","R","R","4/6/1985","1985"
"加世田 美智久","Michihisa Kaseda","12543","かせだ　みちひさ","R","R","4/24/1969","1969"
"加倉 一馬","Kazuma Kakura","13119","かくら かずま","R","R","10/19/1957","1957"
"加倉井 実","Minoru Kakurai","14429","","L","L","6/29/1934","1934"
"加地 健三郎","Kenzaburo Kaji","16324","かぢ　けんざぶろう","R","R","","1921"
"加田 次男","Sugio Kata","14553","","R","R","10/3/1938","1938"
"加登脇 卓真","Takuma Kadowaki","12051","かどわき　たくま","L","R","6/12/1987","1987"
"加藤 安雄","Yasuo Kato","13416","かとう やすお","R","R","4/6/1950","1950"
"加藤 一昭","Kazuaki Kato","14601","","R","R","11/7/1930","1930"
"加藤 英司","Hideji Kato","91","かとう　ひでじ","L","L","5/24/1948","1948"
"加藤 英治","Eiji Kato","13932","かとう えいじ","R","R","4/24/1948","1948"
"加藤 英樹","Hideki Kato","14648","","R","R","2/28/1968","1968"
"加藤 英美","Hidemi Kato","13351","かとう ひでみ","L","L","4/2/1952","1952"
"加藤 英夫","Hideo Kato","13604","かとう ひでお","R","R","5/18/1948","1948"
"加藤 幹典","Mikinori Kato","12451","かとう・みきのり","L","L","6/4/1985","1985"
"加藤 喜作","Kisaku Kato","16077","かとう　きさく","R","R","02/21/1908","1908"
"加藤 喜作","Kisaku Kato","16356","かとう　きさく","B","L","02/1 /1908","1908"
"加藤 貴大","Takahiro Kato","13043","かとう たかひろ","R","R","12/13/1987","1987"
"加藤 暁彦","Akihiko Kato","11510","かとう　あきひこ","R","R","10/6/1982","1982"
"加藤 健","Ken Kato","11217","かとう　けん","R","R","3/23/1981","1981"
"加藤 謙如","Noriyuki Kato","10227","","L","R","7/29/1976","1976"
"加藤 光教","Mitsunori Kato","12360","かとう","R","R","4/15/1982","1982"
"加藤 康介","Kosuke Kato","11539","かとう　こすけ","L","L","7/2/1978","1978"
"加藤 高康","Takayasu Kato","10224","","L","L","6/7/1969","1969"
"加藤 克巳","Katsumi Kato","14420","","R","R","6/13/1935","1935"
"加藤 俊夫","Toshio Kato","92","かとう　としお","R","R","1/20/1948","1948"
"加藤 春雄","Haruo Kato","15153","","R","R","3/25/1917","1917"
"加藤 春雄","Haruo Kato","15581","かとう はるお","R","R","3/25/1917","1917"
"加藤 初","Hajime Kato","303","かとう　はじめ","R","R","12/20/1949","1949"
"加藤 匠馬","Takuma Kato","15866","","R","R","4/29/1992","1992"
"加藤 将斗","Masato Kato","10230","","L","L","7/23/1972","1972"
"加藤 昌利","Masatoshi Kato","14361","","R","R","5/10/1935","1935"
"加藤 伸一","Shinichi Kato","10225","かとう　しんいち","R","R","7/19/1965","1965"
"加藤 信夫","Nobuo Kato","16195","かとう　のぶお","R","R","04/02/1917","1917"
"加藤 進","Susumu Kato","14816","","R","R","9/24/1923","1923"
"加藤 政一","Masakazu Kato","15241","","L","L","9/3/1922","1922"
"加藤 政義","Masayoshi Kato","12872","かとう　まさよし","L","R","4/28/1987","1987"
"加藤 正志","Masashi Kato","15951","","R","R","9/7/1989","1989"
"加藤 正次","Masaji Kato","12680","かとう　まさじ","NA","NA","3/18/1958","1958"
"加藤 正樹","Masaki Kato","10229","かとう　まさき","L","L","6/14/1965","1965"
"加藤 正二","Shoji Kato","448","","R","R","3/3/1914","1914"
"加藤 聡","Satoshi Kato","12742","かとう・さとし","R","R","9/5/1986","1986"
"加藤 太郎","Taro Kato","15036","","R","R","7/7/1933","1933"
"加藤 大輔","Daisuke Kato","11731","かとう　だいすけ","R","R","7/27/1980","1980"
"加藤 智男","Tomoo Kato","16245","かとう　ともお","L","L","04/13/1919","1919"
"加藤 哲郎","Tetsuro Kato","10226","かとう てつろう","R","R","4/12/1964","1964"
"加藤 博一","Hirokazu Kato","9823","かとう　ひろかず","B","R","10/9/1951","1951"
"加藤 博人","Hiroto Kato","10228","","L","L","4/29/1969","1969"
"加藤 斌","Takeshi Kato","14235","","R","R","5/21/1944","1944"
"加藤 武治","Takeharu Kato","11734","かとう　たけはる","R","R","3/24/1978","1978"
"加藤 誉昭","Takaaki Kato","9585","かとう　たかあき","L","L","4/24/1963","1963"
"加藤 隆行","Takayuki Kato","11504","かとう　たかゆき","R","R","3/2/1983","1983"
"加藤 竜人","Tatsuhito Kato","11524","かとう　たつひと","L","L","8/11/1976","1976"
"加藤 力雄","Rikio Kato","14558","","R","R","9/1/1937","1937"
"加藤 翔平","Shohei Kato","15517","かとう・しょうへい","B","R","3/28/1991","1991"
"加納 茂徳","Shigenori Kano","13405","かのう しげのり","R","R","5/17/1949","1949"
"加茂川 重治","Shigeharu Kamogawa","12677","かもがわ しげはる","R","R","3/17/1966","1966"
"嘉勢 敏弘","Toshihiro Kase","10220","かせ　としひろ","L","L","10/6/1976","1976"
"嘉弥真 新也","Shinya Kayama","15339","かやま　しんや","L","L","11/23/1989","1989"
"家村 相太郎","Sotaro Iemura","668","","R","R","1/5/1917","1917"
"歌藤 達夫","Tatsuo Kato","11857","","L","L","6/15/1978","1978"
"河 文雄","Fumio Kawa","15299","","R","R","10/7/1924","1924"
"河井 学","Manabu Kawai","14912","","R","R","8/21/1936","1936"
"河井 昭司","Shoji Kawai","13707","かわい しょうじ","R","R","11/11/1949","1949"
"河原 主尚","Chikahisa Kawahara","14737","かわはら　ちかひさ","R","R","9/1/1937","1937"
"河原 純一","Junichi Kawahara","10263","かわはら　じゅんいち","R","R","1/22/1973","1973"
"河原 明","Akira Kawahara","13602","かわはら あきら","R","R","6/10/1949","1949"
"河原 隆一","Ryuichi Kawahara","10264","かわはら　りゅういち","L","L","8/10/1971","1971"
"河原田 明","Akira Kawaharada","14403","","L","L","9/18/1940","1940"
"河合 静夫","Shizuo Kawai","14947","","R","R","2/12/1933","1933"
"河合 保彦","Yasuhiko Kawai","13949","","R","R","10/3/1933","1933"
"河上 道雄","Michio Kawakami","15243","","R","R","8/27/1931","1931"
"河西 宏和","Hirokazu Kawanishi","14923","","R","R","12/9/1936","1936"
"河西 俊雄","Toshio Kawanishi","14957","","R","R","4/25/1920","1920"
"河村 英文","Hidefumi Kawamura","14238","","R","R","8/30/1933","1933"
"河村 健一郎","Kenichiro Kawamura","13562","かわむら けんいちろう","R","R","2/26/1948","1948"
"河村 章","Akira Kawamura","552","","L","L","5/8/1920","1920"
"河村 保彦","Yasuhiko Kawamura","13683","かわむら やすひこ","R","R","7/15/1940","1940"
"河端 龍","Ryu Kawabata","11227","かわばた　りゅう","R","R","11/10/1976","1976"
"河津 憲一","Kenichi Kawatsu","14239","","R","R","12/4/1933","1933"
"河田 寿司","Hisashi Kawata","12109","かわた　ひさし","L","R","12/5/1979","1979"
"河田 雄祐","Yusuke Kawada","10256","かわだ　ゆうすけ","L","R","12/22/1967","1967"
"河東 真","Makoto Kato","14177","","R","R","5/14/1939","1939"
"河内 貴哉","Takaya Kawauchi","11337","かわうち　たかや","L","L","1/6/1982","1982"
"河内 卓司","Takushi Kawauchi","14988","","R","R","4/26/1920","1920"
"河内 忠吾","Tadamichi Kawachi","14797","","R","R","12/24/1930","1930"
"河埜 敬幸","Takayuki Kono","9568","こうの　たかゆき","R","R","4/18/1955","1955"
"河埜 和正","Kazumasa Kono","111","こうの　かずまさ","R","R","11/7/1951","1951"
"河本 育之","Yasuyuki Kawamoto","10269","かわもと やすゆき","L","L","10/21/1967","1967"
"河野 旭輝","Akiteru Kono","110","こうの　あきてる","R","R","1/1/1935","1935"
"河野 安男","Yasuo Kono","14297","","R","R","11/25/1936","1936"
"河野 元貴","Genki Kawano","12905","かわの　げんき","L","R","6/14/1991","1991"
"河野 秀数","Hidekazu Kawano","15496","かわの・ひでかず","R","R","12/14/1987","1987"
"河野 昌人","Masato Kawano","10258","かわの　まさと","R","R","5/7/1978","1978"
"河野 昭修","Akinobu Kono","14302","","R","R","8/22/1930","1930"
"河野 正","Tadashi Kawano","14422","","R","R","5/29/1936","1936"
"河野 大樹","Daiki Kono","15905","","B","R","3/29/1991","1991"
"河野 博","Hiroshi Kono","15303","","R","R","10/25/1930","1930"
"河野 博文","Hirofumi Kono","10333","こんの　ひろふみ","L","L","4/28/1962","1962"
"河野 友軌","Yuki Kono","11697","こうの　ゆうき","L","R","11/1/1980","1980"
"河野 誉彦","Yasuhiko Kawano","9821","かわの　やすひこ","R","R","1/31/1961","1961"
"河野 亮","Ryo Kawano","10259","かわの　りょう","R","R","5/3/1971","1971"
"花井 悠","Yu Hanai","14130","","L","L","1/9/1932","1932"
"花沢 英雄","Hideo Hanazawa","14801","","R","R","4/20/1937","1937"
"花田 勘一郎","Kanichiro Hanada","15989","はなだ　かんいちろう","R","R","","1920"
"花田 真人","Masato Hanada","11335","はなだ　まさと","R","R","10/25/1977","1977"
"花島 寛己","Yoshiki Hanashima","10709","","R","R","6/16/1973","1973"
"会沢 翼","Tsubasa Aizawa","12180","あいざわ　つばさ","R","R","4/13/1988","1988"
"会田 照夫","Teruo Aida","13226","あいだ てるお","R","R","6/5/1947","1947"
"会田 豊彦","Toyohiko Aida","14535","","R","R","4/1/1937","1937"
"会田 有志","Yushi Aida","12105","あいだ　ゆうし","R","R","1/30/1984","1984"
"戒能 朶一","Daichi Kaino","15990","かいのう　だいち","R","R","","1916"
"海蔵寺 弘司","Koji Kaizoji","15991","かいぞうじ　こうじ","R","R","","1915"
"海田 智行","Tomoyuki Kaida","15363","かいだ　ともゆき","L","L","9/2/1987","1987"
"海部 和夫","Kazuo Kaifu","673","","R","R","7/27/1930","1930"
"海野 尚武","Naotake Unno","14783","","L","L","5/17/1935","1935"
"灰山 元章","Motoaki Haiyama","16112","はいやま　もとあき","R","R","07/17/1912","1912"
